"Intent";"result"
"jobFamily.update";"""change job family"""
"jobFamily.update";"""update job family"""
"jobFamily.update";"""make updates to job family"""
"jobFamily.update";"""correct a job fam"""
"jobFamily.update";"""update job fam"""
"jobFamily.update";"""update job branch"""
"jobFamily.update";"""job family edit"""
"jobOffer.create";"""Give me a new job offer"""
"jobOffer.create";"""Make a new job offer for me"""
"jobOffer.create";"""Creation of a new job offer"""
"jobOffer.create";"""Can you make new job offer creation"""
"jobOffer.create";"""E, please create job offer"""
"jobOffer.create";"""Let me create new job offer"""
"jobOffer.create";"""Please create new job offer"""
"jobOffer.create";"""Make me a new job offer"""
"jobOffer.create";"""I need a new job offer"""
"jobOffer.create";"""I need a new job offer to be created"""
"jobOffer.create";"""Can you please create a new job offer"""
"jobOffer.create";"""I need you to create job offer"""
"jobOffer.create";"""Please create job offer"""
"jobOffer.evaluate";"""Evaluation job offer"""
"jobOffer.evaluate";"""Evaluate offer of a job"""
"jobOffer.evaluate";"""Eval offer job"""
"jobOffer.evaluate";"""Eval job offer"""
"jobOffer.evaluate";"""Job offer evaluate"""
"jobOffer.evaluate";"""Can you please let me evaluate a job offer"""
"jobOffer.evaluate";"""Let me evaluate a job offer"""
"jobOffer.evaluate";"""I want to evaluate a job offer"""
"jobOffer.evaluate";"""Please evaluate job offer"""
"jobOffer.evaluate";"""Pls evaluate a job offer"""
"jobOffer.evaluate";"""Evaluate job offer"""
"jobOffer.evaluate";"""Make an evaluation of job offer"""
"jobOffer.evaluate";"""I need a job offer evaluated"""
"jobOffer.evaluate";"""Pls evaluate job offer"""
"jobOffer.evaluate";"""Please let me evaluate a job offer"""
"jobOffer.revoke";"""Pls rvk job offer"""
"jobOffer.revoke";"""Please I want you to revoke job offer"""
"jobOffer.revoke";"""I need you to revoke this job offer"""
"jobOffer.revoke";"""Make a job offering revoked"""
"jobOffer.revoke";"""Help me to revoke a job offering"""
"jobOffer.revoke";"""Revoke this job offer"""
"jobOffer.revoke";"""Pls revoke job offer"""
"jobOffer.revoke";"""Let me revoke a job offer"""
"jobOffer.revoke";"""Can you please help me to revoke this job offering"""
"jobOffer.revoke";"""Rvk job offer"""
"jobOffer.revoke";"""Can you please let me revoke a job offer"""
"jobOffer.revoke";"""I need to revoke this job offer"""
"jobOffer.revoke";"""Revoke job offer"""
"jobOffer.revoke";"""I want to withdraw a job offer"""
"jobOffer.revoke";"""withdraw job offer"""
"jobOfferNegotiation.evaluate";"""Let me evaluate job offer negotiation"""
"jobOfferNegotiation.evaluate";"""Job offer negotiation evaluation"""
"jobOfferNegotiation.evaluate";"""I want you to help me job offer negotioation"""
"jobOfferNegotiation.evaluate";"""Can you please help me to evaluate this job offer negotiation"""
"jobOfferNegotiation.evaluate";"""Evaluation for a job offer negotiation"""
"jobOfferNegotiation.evaluate";"""Job offer nego eval"""
"jobOfferNegotiation.evaluate";"""Can you please help me to evaluate job offer negotiation"""
"jobOfferNegotiation.evaluate";"""I want to evaluate job offer negotiation"""
"jobOfferNegotiation.evaluate";"""Negotiation for job offer evaluation"""
"jobOfferNegotiation.evaluate";"""I need to evaluate a negotiation of job offer"""
"jobOfferNegotiation.evaluate";"""Job offer negotiation evaluate"""
"jobPosting.cancel";"""Cancel job posting now"""
"jobPosting.cancel";"""I want you to cancel a job position posting"""
"jobPosting.cancel";"""Can you please make this posting for a job position cancelled"""
"jobPosting.cancel";"""E, make job posting cancelled"""
"jobPosting.cancel";"""I want a job posting cancelled"""
"jobPosting.cancel";"""Make job posting cancelled"""
"jobPosting.cancel";"""Please cancel job posting now"""
"jobPosting.cancel";"""Pls cancel job posting"""
"jobPosting.cancel";"""I want to cancel job posting"""
"jobPosting.cancel";"""Can you please cancel job posting"""
"jobPosting.cancel";"""Cancel job posting"""
"jobPosting.cancel";"""I need to cancel a job posting"""
"jobPosting.create";"""Please publish job requisition"""
"jobPosting.create";"""publish job requistion"""
"jobPosting.create";"""I need to publish job req"""
"jobPosting.create";"""Publish job rec"""
"jobPosting.create";"""I need to post a job requisition"""
"jobPosting.create";"""I want to post a job requisition"""
"jobPosting.create";"""distribute requistion"""
"jobPosting.create";"""I need to publish this job requisition"""
"jobPosting.create";"""circulate req"""
"jobPosting.create";"""Publish job requisition"""
"jobPosting.create";"""Please post this job requisition"""
"jobPosting.create";"""disseminate job rec"""
"jobPosting.create";"""Please make this job requisition posted"""
"jobPosting.create";"""I want you to publish job rec"""
"jobPosting.create";"""Can pls pub job rec"""
"jobPosting.create";"""Pls publish job rec"""
"jobPosting.create";"""issue job req"""
"jobPosting.create";"""Can you please publish job requisition"""
"jobPosting.create";"""new job posting"""
"jobPosting.create";"""job posting create"""
"jobPosting.create";"""create job posting"""
"jobPosting.create";"""create new job posting"""
"jobPosting.update";"""correct employment opportunity"""
"jobPosting.update";"""edit job listing"""
"jobPosting.update";"""adjust job posting"""
"jobPosting.update";"""change job listing"""
"jobPosting.update";"""modify employment opportunity"""
"jobPosting.update";"""update job posting"""
"jobPosting.update";"""update employment opportunity"""
"jobPosting.update";"""update employment oppty"""
"jobPosting.update";"""make adjustments in job posting"""
"jobPosting.update";"""change job posting"""
"jobPosting.update";"""edit job posting"""
"jobPosting.update";"""correct job posting"""
"jobReferral.activate";"""start job referral"""
"jobReferral.activate";"""launch referral"""
"jobReferral.activate";"""open job referral"""
"jobReferral.activate";"""switch on referral"""
"jobReferral.activate";"""turn on employee referral"""
"jobReferral.activate";"""initiate recommendation"""
"jobReferral.activate";"""activate job referral"""
"jobReferral.activate";"""activation of a job recommendation"""
"jobReferral.activate";"""activation of a job recommendation referral"""
"jobReferral.activate";"""activate job recommendation"""
"jobReferral.activate";"""job referral activation please"""
"jobReferral.activate";"""i need to turn on job referral"""
"jobReferral.cancel";"""job referral cancellation"""
"jobReferral.cancel";"""rescind referrence"""
"jobReferral.cancel";"""stop employee referral"""
"jobReferral.cancel";"""changed my mind about recommendation"""
"jobReferral.cancel";"""cancel job referral"""
"jobReferral.cancel";"""I need to rescind job referrence"""
"jobReferral.cancel";"""stop employee job referral"""
"jobReferral.cancel";"""i need to cancel job referral"""
"jobReferral.cancel";"""cancel job referral of an employee"""
"jobReferral.cancel";"""cancel job recommendation"""
"jobReferral.cancel";"""rescind job referral"""
"jobReferral.cancel";"""stop job referral"""
"jobReferral.cancel";"""stop job recommendation"""
"jobReferral.cancel";"""employee job referral cancel"""
"jobReferral.evaluate";"""evaluate job referral"""
"jobReferral.evaluate";"""job referral evaluation"""
"jobReferral.evaluate";"""please review this worker referral"""
"jobReferral.evaluate";"""please go over a job referral evaluation"""
"jobReferral.evaluate";"""I need to recommend a job evaluation"""
"jobReferral.evaluate";"""go over referral"""
"jobReferral.evaluate";"""check out job reference"""
"jobReferral.evaluate";"""review employee referral"""
"jobReferral.evaluate";"""recommendation evaluation"""
"jobReferral.evaluate";"""eval job recommendation"""
"jobReferral.evaluate";"""eval job referral"""
"jobReferral.evaluate";"""evaluate referral"""
"jobReferral.evaluate";"""review job referral"""
"jobReferral.evaluate";"""check job recommendation"""
"jobReferral.evaluate";"""review job referral"""
"jobReferral.hold";"""suspend referral"""
"jobReferral.hold";"""place a hold on job referral"""
"jobReferral.hold";"""put job referral on hold"""
"jobReferral.hold";"""defer referral"""
"jobReferral.hold";"""delay employee referral"""
"jobReferral.hold";"""postpone recommendation"""
"jobReferral.hold";"""hold job referral"""
"jobReferral.hold";"""hold job ref"""
"jobReferral.hold";"""put job recommendation on hold"""
"jobReferral.hold";"""defer job recommendation"""
"jobReferral.hold";"""job recommendation on hold please"""
"jobReferral.hold";"""job recommendation postpone"""
"jobReferral.payment";"""provide benefits for job referral"""
"jobReferral.payment";"""please referral payment"""
"jobReferral.payment";"""get paid for job reference"""
"jobReferral.payment";"""I need to pay someone for job referral"""
"jobReferral.payment";"""bonus for job referral"""
"jobReferral.payment";"""I need to compensate a job recommendation"""
"jobReferral.payment";"""job referral payment"""
"jobReferral.payment";"""reference benefit"""
"jobReferral.payment";"""recommendation compensation"""
"jobReferral.payment";"""employee referral award"""
"jobReferral.payment";"""give bonus for job referral"""
"jobRequisition.activate";"""activate jobrec"""
"jobRequisition.activate";"""activate jobreq"""
"jobRequisition.activate";"""start requisition activation"""
"jobRequisition.activate";"""act job rec"""
"jobRequisition.activate";"""Can you please activate job rec"""
"jobRequisition.activate";"""I want please to activate a job requisition"""
"jobRequisition.activate";"""Can you please do me a favor and activate this job rec"""
"jobRequisition.activate";"""turn on job rec"""
"jobRequisition.activate";"""E system, activate job requisition"""
"jobRequisition.activate";"""activate job requistion"""
"jobRequisition.activate";"""I need to activate job rec"""
"jobRequisition.activate";"""Please activate job requisition"""
"jobRequisition.activate";"""Activate job requisition"""
"jobRequisition.activate";"""switch on requisition"""
"jobRequisition.activate";"""Activate job requisition please"""
"jobRequisition.activate";"""Activate job rec"""
"jobRequisition.activate";"""I need to activate a job requisition"""
"jobRequisition.activate";"""Can you please activate job requisition"""
"jobRequisition.cancel";"""cancel jobrec"""
"jobRequisition.cancel";"""cancel jobreq"""
"jobRequisition.cancel";"""cancel Job req"""
"jobRequisition.cancel";"""I need you please to cancel this job rec"""
"jobRequisition.cancel";"""This job requisition should be cancelled"""
"jobRequisition.cancel";"""Please cancel job rec"""
"jobRequisition.cancel";"""Can you please cancel this job requisition"""
"jobRequisition.cancel";"""I want to cancel job requisition"""
"jobRequisition.cancel";"""Cancel the job rec"""
"jobRequisition.cancel";"""Please cancel the job requisition"""
"jobRequisition.cancel";"""Anulate job requisition"""
"jobRequisition.cancel";"""Please cancel job requisition"""
"jobRequisition.cancel";"""Cancel job requisition"""
"jobRequisition.cancel";"""Cancel a job req"""
"jobRequisition.cancel";"""Cancel a new job requisition"""
"jobRequisition.cancel";"""I want to cancel a new job requisition"""
"jobRequisition.close";"""close jobrec"""
"jobRequisition.close";"""close jobreq"""
"jobRequisition.close";"""finish jobreq"""
"jobRequisition.close";"""job requisition is finished"""
"jobRequisition.close";"""Job req is filled"""
"jobRequisition.close";"""I want to finish job req"""
"jobRequisition.close";"""end job requisition"""
"jobRequisition.close";"""finish job rec"""
"jobRequisition.close";"""terminate job requisition"""
"jobRequisition.close";"""Close job rec"""
"jobRequisition.close";"""Please close job req"""
"jobRequisition.close";"""I want to close job requisition"""
"jobRequisition.close";"""close job req"""
"jobRequisition.close";"""finish job requisition"""
"jobRequisition.close";"""close job requisition"""
"jobRequisition.close";"""end job rec"""
"jobRequisition.create";"""create new jobreq"""
"jobRequisition.create";"""create jobrec"""
"jobRequisition.create";"""create a new jobrec"""
"jobRequisition.create";"""create job req"""
"jobRequisition.create";"""i want to create a new job req"""
"jobRequisition.create";"""open new job rec"""
"jobRequisition.create";"""open new job requisition"""
"jobRequisition.create";"""open job requisition"""
"jobRequisition.create";"""Make me a new job requisition"""
"jobRequisition.create";"""Let¬¥s create a new job rec"""
"jobRequisition.create";"""Can you please start a new job rec creation"""
"jobRequisition.create";"""Start new job rec"""
"jobRequisition.create";"""Can you please create job requisition new"""
"jobRequisition.create";"""I want to create a new job requisition"""
"jobRequisition.create";"""Create job requisition, pls"""
"jobRequisition.create";"""Pls job rec create"""
"jobRequisition.create";"""New job rec create"""
"jobRequisition.create";"""Please create job requisition"""
"jobRequisition.create";"""Can you pls create job rec"""
"jobRequisition.create";"""I need to create job requisition"""
"jobRequisition.create";"""Create new job requisition"""
"jobRequisition.create";"""Create job requisition"""
"jobRequisition.create";"""Can you please create a new job requisition"""
"jobRequisition.hold";"""hold jobreq"""
"jobRequisition.hold";"""put jobrec on hold"""
"jobRequisition.hold";"""suspend jobreq"""
"jobRequisition.hold";"""postpone rec"""
"jobRequisition.hold";"""delay req"""
"jobRequisition.hold";"""Hold job requisition"""
"jobRequisition.hold";"""Can you please put job rec on hold"""
"jobRequisition.hold";"""Can you please put job rec on hold state"""
"jobRequisition.hold";"""place job rec on hold"""
"jobRequisition.hold";"""Hold job rec"""
"jobRequisition.hold";"""Put job requisition on hold"""
"jobRequisition.hold";"""suspend requisition"""
"jobRequisition.hold";"""I want to hold this job requisition"""
"jobRequisition.hold";"""Can you please put job requisition on hold"""
"jobRequisition.hold";"""Please hold job requisition"""
"jobRequisition.hold";"""Help me to hold job requisition"""
"jobRequisition.hold";"""I need to hold job requisition"""
"jobRequisition.hold";"""put job req on hold"""
"jobRequisition.hold";"""I want to please hold job requisition"""
"jobRequisition.update";"""update jobreq"""
"jobRequisition.update";"""update jobreq"""
"jobRequisition.update";"""adjust jobreq"""
"jobRequisition.update";"""job requisition update"""
"jobRequisition.update";"""changes in job requisition"""
"jobRequisition.update";"""update job req"""
"jobRequisition.update";"""update job requisition"""
"jobRequisition.update";"""update this job req"""
"jobRequisition.update";"""change job req"""
"jobRequisition.update";"""revise rec"""
"jobRequisition.update";"""adjust requistion"""
"jobRequisition.update";"""edit req"""
"jobRequisition.update";"""modify job rec"""
"jobRequisition.update";"""update job requistion"""
"jobRequisition.update";""" correct requisition"""
"jobRequisitionRecruiter.assign";"""recruiter assign job requisition"""
"jobRequisitionRecruiter.assign";"""assign job rec recruiter"""
"jobRequisitionRecruiter.assign";"""assign job req"""
"jobRequisitionRecruiter.assign";"""assign job requisition recruiter"""
"jobRequisitionRecruiter.assign";"""recruiter assignnment"""
"jobRequisitionRecruiter.assign";"""pick job recruiter"""
"jobRequisitionRecruiter.assign";"""choose requisition recruiter"""
"jobRequisitionRecruiter.assign";"""select recruiter for job rec"""
"jobRequisitionRecruiter.assign";"""designate recruiter for req"""
"jobRequisitionRecruiter.assign";"""authorize recruiter for job req"""
"jobRequisitionRecruiter.assign";"""appoint requisition recruiter"""
"jobRequisitionRecruiter.assign";"""assign recruiter for job requistion"""
"jobSearch.create";"""start looking for job"""
"jobSearch.create";"""make search"""
"jobSearch.create";"""new job search"""
"jobSearch.create";"""add position search"""
"jobSearch.create";"""create search"""
"jobSearch.create";"""set up employment search"""
"jobSearch.delete";"""get rid of search"""
"jobSearch.delete";"""eliminate search"""
"jobSearch.delete";"""remove employment search"""
"jobSearch.delete";"""take away job search"""
"jobSearch.delete";"""delete job search"""
"jobSearch.update";"""correct search"""
"jobSearch.update";"""modify search"""
"jobSearch.update";"""change employment search"""
"jobSearch.update";"""update job search"""
"jobSearch.update";"""adjust job search"""
"jobSearch.update";"""edit employment search"""
"legalEntity.activate";"""start legal entity"""
"legalEntity.activate";"""launch legal entity"""
"legalEntity.activate";"""open legal entity"""
"legalEntity.activate";"""switch on legal entity"""
"legalEntity.activate";"""legal entity activation"""
"legalEntity.activate";"""turn on legal entity"""
"legalEntity.activate";"""initiate legal entity"""
"legalEntity.activate";"""activate legal entity"""
"legalEntity.activate";"""make activation to legal entity"""
"legalEntity.activate";"""make legal entity active"""
"legalEntity.activate";"""I need to open a legal entity"""
"legalEntity.activate";"""I need to turn on legal entity"""
"legalEntity.activate";"""Please activ legal entity"""
"legalEntity.close";"""terminate legal entity"""
"legalEntity.close";"""resolve legal entity"""
"legalEntity.close";"""quit legal entity"""
"legalEntity.close";"""end legal entity"""
"legalEntity.close";"""conclude legal entity"""
"legalEntity.close";"""stop legal entity"""
"legalEntity.close";"""finish legal entity"""
"legalEntity.close";"""complete legal entity"""
"legalEntity.close";"""close legal entity"""
"legalEntity.close";"""I need to finish a legal entity"""
"legalEntity.close";"""please complete legal enty"""
"legalEntity.close";"""closing legal entity"""
"legalEntity.close";"""entity legal finish"""
"legalEntity.close";"""close up legal entity"""
"legalEntity.close";"""I need to terminate legal entity"""
"legalEntity.create";"""establish legal entity"""
"legalEntity.create";"""set up legal entity"""
"legalEntity.create";"""make legal entity"""
"legalEntity.create";"""add legal entity"""
"legalEntity.create";"""create legal entity"""
"legalEntity.create";"""start legal entity"""
"legalEntity.create";"""new legal entity"""
"legalEntity.create";"""please create a new legal entity"""
"legalEntity.create";"""creation of a new legal entity"""
"legalEntity.create";"""please make me a new legal entity"""
"legalEntity.create";"""i need to set up more legal entity"""
"legalEntity.deactivate";"""stop legal entity"""
"legalEntity.deactivate";"""turn off legal entity"""
"legalEntity.deactivate";"""shut off legal entity"""
"legalEntity.deactivate";"""inactivation legal entity"""
"legalEntity.deactivate";"""disconnect legal entity"""
"legalEntity.deactivate";"""disable legal entity"""
"legalEntity.deactivate";"""legal entity deactivation"""
"legalEntity.deactivate";"""deactivate legal entity"""
"legalEntity.deactivate";"""make inactive legal entity"""
"legalEntity.deactivate";"""i need to inactivate legal entity"""
"legalEntity.deactivate";"""please entity legal inactive"""
"legalEntity.deactivate";"""make deactivation of legal entity"""
"legalEntity.deactivate";"""please shut off legal entity"""
"legalEntity.deactivate";"""plese stop legal entity"""
"legalEntity.delete";"""deletion of legal entities"""
"legalEntity.delete";"""elim legal entity"""
"legalEntity.delete";"""legal entity delete now"""
"legalEntity.delete";"""make away legal entity please"""
"legalEntity.delete";"""legal entity eliminate"""
"legalEntity.delete";"""get rid of legal entity"""
"legalEntity.delete";"""take away legal entity"""
"legalEntity.delete";"""eliminate legal entity"""
"legalEntity.delete";"""rem legal entity"""
"legalEntity.delete";"""remove legal entity"""
"legalEntity.delete";"""del legal entity"""
"legalEntity.delete";"""delete legal entity"""
"legalEntity.update";"""correct legal entity"""
"legalEntity.update";"""edit legal entity"""
"legalEntity.update";"""adjust legal entity"""
"legalEntity.update";"""modif legal entity"""
"legalEntity.update";"""modify legal entity"""
"legalEntity.update";"""change legal entity"""
"legalEntity.update";"""updt legal entity"""
"legalEntity.update";"""update legal entity"""
"legalEntity.update";"""make modifications into legal entity"""
"legalEntity.update";"""please make updates to legal entity"""
"legalEntity.update";"""correct a legal entity please"""
"legalEntity.update";"""I need to make adjustments into a legal entity"""
"legalEntity.update";"""I need to correct a legal entity"""
"level.activate";"""start job level"""
"level.activate";"""launch career level"""
"level.activate";"""open position level"""
"level.activate";"""switch on job level"""
"level.activate";"""turn on career level"""
"level.activate";"""initiate pos level"""
"level.activate";"""initiate position level"""
"level.activate";"""job level activation"""
"level.activate";"""activaton job level"""
"level.activate";"""activate job level"""
"level.create";"""make a new job level"""
"level.create";"""create new job position level"""
"level.create";"""I need to setup another job level"""
"level.create";"""job level creation"""
"level.create";"""make me a new job level please"""
"level.create";"""establish career level"""
"level.create";"""set up position level"""
"level.create";"""new job level creation"""
"level.create";"""please create new job level"""
"level.create";"""make job level"""
"level.create";"""add career level"""
"level.create";"""create position level"""
"level.create";"""new job level"""
"level.deactivate";"""stop job level"""
"level.deactivate";"""shut off position level"""
"level.deactivate";"""inactivate job level"""
"level.deactivate";"""disconnect career level"""
"level.deactivate";"""job level de-activation"""
"level.deactivate";"""disable job level"""
"level.deactivate";"""disable position level"""
"level.deactivate";"""deactiv job level"""
"level.deactivate";"""deactivate job level"""
"level.deactivate";"""make job level inactive"""
"level.deactivate";"""deactive level"""
"level.deactivate";"""make level inactive"""
"level.delete";"""get rid of position level"""
"level.delete";"""take away job level"""
"level.delete";"""elim job level"""
"level.delete";"""eliminate job level"""
"level.delete";"""rem job level"""
"level.delete";"""remove job level"""
"level.delete";"""del job level"""
"level.delete";"""delete job level"""
"level.delete";"""deletion of job level"""
"level.delete";"""please take job level away"""
"level.delete";"""eliminate a job level"""
"level.delete";"""del level"""
"level.delete";"""removal of job level"""
"level.update";"""correct career level"""
"level.update";"""edit job level"""
"level.update";"""edit position level"""
"level.update";"""adjust job level"""
"level.update";"""adjust job level specifics"""
"level.update";"""modify career details"""
"level.update";"""correct job level"""
"level.update";"""change position level information"""
"level.update";"""updt job level"""
"level.update";"""update job level"""
"my.todos";"""my tasks for next month"""
"my.todos";"""what do I have to do next week"""
"my.todos";"""my plate for next week"""
"my.todos";"""what are my to-dos"""
"my.todos";"""to-dos for next week"""
"my.todos";"""todos for today"""
"my.todos";"""my todos for today"""
"my.todos";"""what is on my plate today"""
"my.todos";"""what do i have for next week"""
"my.todos";"""my to dos for tomorrow"""
"my.todos";"""what are my todos for today"""
"payGrade.activate";"""activate pay level"""
"payGrade.activate";"""start grade on pay scale"""
"payGrade.activate";"""activation of pay rank"""
"payGrade.activate";"""launch level on pay scale"""
"payGrade.activate";"""open pay scale"""
"payGrade.activate";"""switch on pay level"""
"payGrade.activate";"""turn on pay rank"""
"payGrade.activate";"""init paygrade"""
"payGrade.activate";"""initiate paygrade"""
"payGrade.activate";"""pay grade activate"""
"payGrade.activate";"""paygrade activation"""
"payGrade.activate";"""activate pay grade"""
"payGrade.create";"""add new play level"""
"payGrade.create";"""create new pay level"""
"payGrade.create";"""establish pay level"""
"payGrade.create";"""set up pay scale"""
"payGrade.create";"""create pay rank"""
"payGrade.create";"""make pay rank"""
"payGrade.create";"""include pay grade"""
"payGrade.create";"""include new paygrade"""
"payGrade.create";"""add paygrade"""
"payGrade.create";"""create level on pay scale"""
"payGrade.create";"""start grade on pay scale"""
"payGrade.create";"""include new pay grade"""
"payGrade.create";"""new pay grade"""
"payGrade.deactivate";"""deactivation pay scale"""
"payGrade.deactivate";"""stop grade on pay scale"""
"payGrade.deactivate";"""shut off pay scale"""
"payGrade.deactivate";"""inactivation pay level"""
"payGrade.deactivate";"""inactivate pay level"""
"payGrade.deactivate";"""disconnect pay rank"""
"payGrade.deactivate";"""disable pay level"""
"payGrade.deactivate";"""please disable pay grade"""
"payGrade.deactivate";"""disable paygrade"""
"payGrade.deactivate";"""deactivation pay grade"""
"payGrade.deactivate";"""deactivate pay grade"""
"payGrade.delete";"""get rid of pay scale"""
"payGrade.delete";"""take away pay level"""
"payGrade.delete";"""elim pay scale"""
"payGrade.delete";"""eliminate pay rank"""
"payGrade.delete";"""rem pay grade"""
"payGrade.delete";"""remove paygrade"""
"payGrade.delete";"""delete paygrade"""
"payGrade.delete";"""del pay grade"""
"payGrade.delete";"""delete pay grade"""
"payGrade.delete";"""remove a pay grade"""
"payGrade.delete";"""delete pay rank"""
"payGrade.delete";"""remove pay level"""
"payGrade.delete";"""get rid of pay grade"""
"payGrade.delete";"""del paygrade"""
"payGrade.update";"""correct level on pay scale"""
"payGrade.update";"""edit pay scale"""
"payGrade.update";"""adjust pay grade"""
"payGrade.update";"""adjust pay level"""
"payGrade.update";"""change pay rank"""
"payGrade.update";"""modify pay rank"""
"payGrade.update";"""change pay grade"""
"payGrade.update";"""change paygrade"""
"payGrade.update";"""update pay scale"""
"payGrade.update";"""update pay level"""
"payGrade.update";"""update pay grade"""
"paymentDate.update";"""Update payment date"""
"payrollSchedulePractitioner.assign";"""Assign practitioner to payroll schedule"""
"payrollSchedulePractitioner.assign";"""Assign practitioner to payroll"""
"person.create";"""establish personal profile"""
"person.create";"""establish person account"""
"person.create";"""set up individual record"""
"person.create";"""make individual profile"""
"person.create";"""add individual account"""
"person.create";"""create personal profilep"""
"person.create";"""create personal record"""
"person.create";"""start personal profile"""
"person.create";"""create personal account"""
"person.create";"""new personal account"""
"personBirthInformation.update";"""correct my birth information"""
"personBirthInformation.update";"""edit birth date details"""
"personBirthInformation.update";"""adjust DOB"""
"personBirthInformation.update";"""modify my birthdate"""
"personBirthInformation.update";"""change my birthday"""
"personBirthInformation.update";"""update date of birth"""
"personBirthInformation.update";"""modify year of birth"""
"personBirthInformation.update";"""change my birth information"""
"personBirthInformation.update";"""change birthinformation now"""
"personBirthInformation.update";"""my birthday is 05 march 2000"""
"personBirthInformation.update";"""change personal bday"""
"personBirthInformation.update";"""make birthday modification"""
"personBirthInformation.update";"""up birthday information"""
"personBirthInformation.update";"""adjust date born to 05/03/1979"""
"personBirthInformation.update";"""birth date adjustment"""
"personBirthInformation.update";"""update my DOB"""
"personBirthInformation.update";"""update my personal birthdate"""
"personBirthInformation.update";"""Update my date of birth"""
"personBirthInformation.update";"""birthday update"""
"personBirthInformation.update";"""correct birth information to 7 January 1999"""
"personBirthInformation.update";"""modify birthdate"""
"personBirthInformation.update";"""change date of birth"""
"personBirthInformation.update";"""edit DOB"""
"personBirthInformation.update";"""adjust date born to 05/03/1979"""
"personBirthInformation.update";"""birth date adjustment"""
"personBirthInformation.update";"""update my DOB"""
"personBirthInformation.update";"""update my personal birthdate"""
"personBirthInformation.update";"""Update my date of birth"""
"personBirthInformation.update";"""birthday update"""
"personBirthInformation.update";"""correct birth information to 7 January 1999"""
"personBirthInformation.update";"""modify birthdate"""
"personBirthInformation.update";"""change date of birth"""
"personBirthInformation.update";"""edit DOB"""
"personBloodGroup.update";"""Edit my blood group to O Negative"""
"personBloodGroup.update";"""Correct my blood type to AB Negative"""
"personBloodGroup.update";"""Update to B Negative"""
"personBloodGroup.update";"""Change blood type to A Negative"""
"personBloodGroup.update";"""I'm O Positive"""
"personBloodGroup.update";"""My blood type is B Positive"""
"personBloodGroup.update";"""My blood type is B Positive"""
"personBloodGroup.update";"""I am A Positive"""
"personBloodGroup.update";"""Edit my blood group to O-"""
"personBloodGroup.update";"""Correct my blood type to AB-"""
"personBloodGroup.update";"""Update to B -"""
"personBloodGroup.update";"""Change blood type to A -"""
"personBloodGroup.update";"""I'm O+"""
"personBloodGroup.update";"""My blood group is AB +"""
"personBloodGroup.update";"""My blood type is B+"""
"personBloodGroup.update";"""I am A+"""
"personBloodGroup.update";"""correct my blood group"""
"personBloodGroup.update";"""edit my blood type"""
"personBloodGroup.update";"""adjust blood group"""
"personBloodGroup.update";"""modify blood type"""
"personBloodGroup.update";"""change my blood group"""
"personBloodGroup.update";"""update my blood type"""
"personCitizenship.update";"""I became a Uruguay citizen"""
"personCitizenship.update";"""I'm a Swiss citizen"""
"personCitizenship.update";"""I am a Brazil citizen"""
"personCitizenship.update";"""I became a U.S. citizen"""
"personCitizenship.update";"""I'm a US citizen"""
"personCitizenship.update";"""I am a United States citizen"""
"personCitizenship.update";"""correct my citizenship details"""
"personCitizenship.update";"""edit my citizenship information"""
"personCitizenship.update";"""adjust citizenship status"""
"personCitizenship.update";"""modif citizenship"""
"personCitizenship.update";"""modify citizenship"""
"personCitizenship.update";"""change my citizenship status"""
"personCitizenship.update";"""update my citizenship"""
"personDeathDate.inform";"""deceased on April 90"""
"personDeathDate.inform";"""passed away on September 2000"""
"personDeathDate.inform";"""died on 2nd april 2012"""
"personDeathDate.inform";"""date of death is june 2015"""
"personDeathDate.inform";"""deceased"""
"personDeathDate.inform";"""passed away"""
"personDeathDate.inform";"""died"""
"personDeathDate.inform";"""date of death"""
"personDeathDate.inform";"""inform person death date"""
"personDeathDate.inform";"""personal death date is January 2000"""
"personDeathDate.inform";"""decease date inform"""
"personDeathDate.inform";"""death date"""
"personDeathDate.inform";"""passed away date"""
"personDeathDate.inform";"""date death inform is 02/02/1987"""
"personDisability.update";"""I'm no longer disabled"""
"personDisability.update";"""I am not disabled"""
"personDisability.update";"""I became disabled"""
"personDisability.update";"""I am disabled"""
"personDisability.update";"""correct my disability classification"""
"personDisability.update";"""edit my handicapped classification"""
"personDisability.update";"""adjust handicap"""
"personDisability.update";"""modif handicapped status"""
"personDisability.update";"""modify handicapped status"""
"personDisability.update";"""change disability status"""
"personDisability.update";"""updt my disability"""
"personDisability.update";"""update my disability"""
"personEthnicity.update";"""I have more than one race"""
"personEthnicity.update";"""I consider myself biracial"""
"personEthnicity.update";"""I have more than one ethnicity"""
"personEthnicity.update";"""I am a Pacfic Islander"""
"personEthnicity.update";"""I'm a Native Hawaiian"""
"personEthnicity.update";"""Change my ethnicity to Alaska Native"""
"personEthnicity.update";"""I consider myself American Indian"""
"personEthnicity.update";"""I'm a Native American"""
"personEthnicity.update";"""Update my ethnicity to Asian"""
"personEthnicity.update";"""I'm Latino"""
"personEthnicity.update";"""I identify as Hispanic"""
"personEthnicity.update";"""I am an African American"""
"personEthnicity.update";"""Change my race to Black"""
"personEthnicity.update";"""I'm Caucasian"""
"personEthnicity.update";"""I am White"""
"personEthnicity.update";"""I'm a minority"""
"personEthnicity.update";"""correct my minority status"""
"personEthnicity.update";"""edit minority status"""
